chat_id,baseline/test,agent_name,promise_to_pay,promise_amount
jUiuxWJ,baseline,Cece Turner,0,N/A
G4FMYkc1tV,baseline,Cece Turner,1,827.35
z75t3Ca5gn,baseline,Cece Turner,0,N/A
2fHG5uU,baseline,Cece Turner,0,N/A
avNYPVR,baseline,Cam Woods,0,N/A
u6rc61X,baseline,Bryan Murphy,1,302.41
FwpkmFex0j,baseline,Bryan Murphy,1,593.52
o9xLrR2,baseline,Cece Turner,0,N/A
n2xR88bfy2,baseline,Cam Woods,1,457.06
OFeeJzcuzA,baseline,Bryan Murphy,1,814.59
qfD9fNkb0V,baseline,Cam Woods,0,N/A
A6QXimoU8g,baseline,Cece Turner,0,N/A
cE7EOhC,baseline,Cece Turner,1,312.11
FUw4uKC,baseline,Cam Woods,1,900.37
w41J954,baseline,Bryan Murphy,1,90.87
y770ti2,baseline,Cam Woods,1,264.66
5KXJAY5,baseline,Cam Woods,0,N/A
yPJLgE0,baseline,Cam Woods,0,N/A
0uYqNV8,baseline,Cece Turner,0,N/A
XylO45bv4D,baseline,Cece Turner,0,N/A
8Q9fCD1,baseline,Bryan Murphy,1,491.26
70jNEslE35,baseline,Cece Turner,0,N/A
I3NU02qyXX,baseline,Bryan Murphy,0,N/A
8853pi9,baseline,Bryan Murphy,1,955.61
LGBDsz6,baseline,Cece Turner,0,N/A
G1L8108,baseline,Bryan Murphy,1,76.11
793mUGL,baseline,Bryan Murphy,1,567.67
cYVgK8W,baseline,Bryan Murphy,0,N/A
1S9gBm9,baseline,Bryan Murphy,1,605.49
42X2p0hc6Z,baseline,Bryan Murphy,1,31.94
7TEC86Y,baseline,Bryan Murphy,1,887.01
3H33pkisLl,baseline,Cece Turner,0,N/A
9VHU329,baseline,Cam Woods,0,N/A
Zno4EB8,baseline,Cam Woods,1,216.79
X3PjjmI,baseline,Bryan Murphy,0,N/A
T1Bij48,baseline,Cam Woods,0,N/A
NH7JQ4l2c8,baseline,Bryan Murphy,0,N/A
h4tS1vka2t,baseline,Cece Turner,0,N/A
42e8MZn2f1,baseline,Cece Turner,0,N/A
s92jsMpNh5,baseline,Bryan Murphy,1,558.04
1xL2mPH,baseline,Cam Woods,1,301.22
B188Edb2x0,baseline,Cece Turner,1,989.88
15567W7,baseline,Bryan Murphy,1,589.39
KFM236aw6j,baseline,Bryan Murphy,1,934.81
K4IKHJjbMI,baseline,Cece Turner,0,N/A
m28EFS8,baseline,Cece Turner,0,N/A
3X2KGZ3,baseline,Bryan Murphy,0,N/A
QfwoZysyYL,baseline,Bryan Murphy,0,N/A
0Nc3i12,baseline,Cece Turner,0,N/A
gqiv17M,baseline,Cam Woods,0,N/A
dHFatZ3,baseline,Cam Woods,1,791.11
mQe7j2X,baseline,Cam Woods,0,N/A
z227N9hmx9,baseline,Bryan Murphy,0,N/A
RGat3wD,baseline,Cece Turner,0,N/A
fQof66B,baseline,Cam Woods,1,465.05
eqS7w2S,baseline,Cece Turner,0,N/A
FtbSw7W,baseline,Bryan Murphy,0,N/A
PPJMrDU,baseline,Cece Turner,0,N/A
771j98J,baseline,Cam Woods,0,N/A
37fXF0H,baseline,Bryan Murphy,0,N/A
5KxPpF5,baseline,Cam Woods,0,N/A
R2hK9JJ,baseline,Cam Woods,1,781.41
DS97BQbHry,baseline,Cam Woods,0,N/A
1w1PmZl608,baseline,Cam Woods,1,632.02
Y5pkQYH,baseline,Cam Woods,0,N/A
A1Q3AB2,baseline,Cece Turner,0,N/A
lb07yM1,baseline,Cece Turner,0,N/A
O4qidhyNF1,baseline,Cece Turner,0,N/A
hGZ2A7k1aE,baseline,Cece Turner,0,N/A
n9X7U07,baseline,Cece Turner,0,N/A
9F2Y4Kv53h,baseline,Cam Woods,1,844.45
CgKs2LQ,baseline,Bryan Murphy,1,335.11
B0RMK3wTD3,baseline,Cece Turner,0,N/A
dtT5311,baseline,Cam Woods,0,N/A
6w7nxm1,baseline,Cam Woods,0,N/A
8438Y39,baseline,Cam Woods,0,N/A
HwtdCa0,baseline,Cece Turner,0,N/A
fdn87zgrL4,baseline,Cece Turner,0,N/A
8y8y028,baseline,Cece Turner,0,N/A
1X94h5O,baseline,Cam Woods,1,503.07
qrBY13t9l0,baseline,Cam Woods,0,N/A
dTW2a35,baseline,Bryan Murphy,1,778.46
UMa5v4mpG5,baseline,Cam Woods,0,N/A
tq4p80gKOT,baseline,Bryan Murphy,0,N/A
ultu635,baseline,Cece Turner,0,N/A
P88ny2m79x,baseline,Cam Woods,0,N/A
ZtBIk9P,baseline,Bryan Murphy,1,406.97
6xeS497,baseline,Cam Woods,0,N/A
t6ea9W3,baseline,Cece Turner,0,N/A
eX6dZe4,baseline,Cam Woods,1,255.78
6bq70waq2e,baseline,Cam Woods,0,N/A
odCh0ZeM6e,baseline,Cece Turner,0,N/A
i9DvL3d14L,baseline,Bryan Murphy,0,N/A
V5iPF9zZN0,baseline,Cam Woods,1,840.1
2uaR2vO,baseline,Cam Woods,0,N/A
dH0Dm55,baseline,Bryan Murphy,1,89.2
A7SAVIuTff,baseline,Cam Woods,1,324.05
Ou8QlF8,baseline,Cece Turner,0,N/A
S5R94Z6,baseline,Bryan Murphy,1,339.18
3DaE4lO,baseline,Cece Turner,0,N/A
H6AWFNvY6j,baseline,Bryan Murphy,1,205.16
56143hR,baseline,Bryan Murphy,0,N/A
gh1en39,baseline,Bryan Murphy,1,250.48
tymwcY4,baseline,Cam Woods,1,389.97
Z4109ObHQu,baseline,Bryan Murphy,1,59.96
k2dJ457,baseline,Bryan Murphy,1,183.85
4h4lpvqtKT,baseline,Bryan Murphy,0,N/A
yXAKr9k2hD,baseline,Cam Woods,1,469.5
NS4U0BZ,baseline,Bryan Murphy,0,N/A
i8if5ej70n,baseline,Bryan Murphy,0,N/A
2L8z6U9,baseline,Bryan Murphy,1,701.5
U64d5WX,baseline,Bryan Murphy,1,688.82
mhS3yM7,baseline,Cece Turner,0,N/A
7fZ83R9,baseline,Bryan Murphy,1,683.38
fg52oZds21,baseline,Cece Turner,1,972.44
5V79Q2O,baseline,Cam Woods,0,N/A
pkV64Z1,baseline,Cece Turner,0,N/A
QFIBZp6,baseline,Cece Turner,0,N/A
CupuHiO,baseline,Bryan Murphy,1,241.86
6ALkfJ1,baseline,Bryan Murphy,1,487.38
FvHeynY,baseline,Cece Turner,0,N/A
7bA20nI,baseline,Bryan Murphy,0,N/A
ubNk8J9,baseline,Cam Woods,0,N/A
GFBb3cM,baseline,Bryan Murphy,0,N/A
o5kF9fK,baseline,Bryan Murphy,1,331.83
q7UAil9,baseline,Bryan Murphy,1,585.07
sun11G4,baseline,Cece Turner,0,N/A
ZrRLJ8u116,baseline,Cece Turner,0,N/A
10f8fWcwbg,baseline,Cece Turner,0,N/A
53c8y8uI01,baseline,Bryan Murphy,1,587.97
1Y6Z4YR,baseline,Cam Woods,0,N/A
Fm6tEG7,baseline,Bryan Murphy,1,327.49
3IIuZ78,baseline,Bryan Murphy,1,477.06
jytNr5U,baseline,Cam Woods,0,N/A
4h8K9qQ,baseline,Cam Woods,1,351.67
Y7yV27bBRj,baseline,Cam Woods,0,N/A
7fiVksH,baseline,Cece Turner,0,N/A
0179737,baseline,Cam Woods,1,103.98
4skB6X3,baseline,Bryan Murphy,0,N/A
M43d6GeM60,baseline,Cece Turner,0,N/A
0zB9E3Q,baseline,Cam Woods,1,124.82
E37e1O7,baseline,Cam Woods,1,30.09
CO0Fb9gk4G,baseline,Bryan Murphy,1,182.42
WYBsi2rZYB,baseline,Bryan Murphy,1,815.3
8s5E62T,baseline,Cam Woods,0,N/A
03qaD0X,baseline,Cece Turner,0,N/A
CL42bZ5,baseline,Cam Woods,0,N/A
DA5esohnQ9,baseline,Cam Woods,1,286.71
uG9T01E,baseline,Bryan Murphy,1,10.53
hve071l80B,baseline,Bryan Murphy,1,65.22
4385iS3,baseline,Cam Woods,0,N/A
Nkw5P7b826,baseline,Bryan Murphy,1,933.52
N5U1iG7,baseline,Bryan Murphy,1,898.91
T2S93VF,baseline,Cam Woods,0,N/A
FB2SbLR,baseline,Bryan Murphy,0,N/A
EhxR3L1,baseline,Cece Turner,0,N/A
2SGr9DQ,baseline,Cece Turner,0,N/A
2k8761Y,baseline,Cece Turner,0,N/A
2GaPufQ,baseline,Cam Woods,0,N/A
YBjfsVY,baseline,Cam Woods,0,N/A
SAlddz9,baseline,Cam Woods,0,N/A
m0dD2Fd2U5,baseline,Cam Woods,0,N/A
887zlyP,baseline,Cam Woods,0,N/A
q6QRsEk4Da,baseline,Bryan Murphy,0,N/A
R38d44kPQH,baseline,Bryan Murphy,1,831.72
B0ALKzq5Qy,baseline,Cece Turner,0,N/A
0W58EnmG2L,baseline,Bryan Murphy,1,249
9y4xL96,baseline,Cam Woods,0,N/A
j8Vv8G5,baseline,Bryan Murphy,0,N/A
vwel59Y,baseline,Bryan Murphy,1,801.65
4721bdijv4,baseline,Cece Turner,0,N/A
Y2HO18c7Do,baseline,Cece Turner,0,N/A
Lp15PeG,baseline,Bryan Murphy,1,442.55
ebLicO1,baseline,Cece Turner,1,199.98
47gvV5S,baseline,Cam Woods,1,890.03
mF0n84X,baseline,Cam Woods,1,464.09
II4Rr34,baseline,Cam Woods,1,974.82
FqUUO20,baseline,Bryan Murphy,1,19.65
GwJEnE5,baseline,Cece Turner,0,N/A
2ELSkJR,baseline,Bryan Murphy,1,508.4
98Un904,baseline,Cam Woods,1,749.24
4ZsKBkG,baseline,Cece Turner,0,N/A
9Y9kJRz6JN,baseline,Cam Woods,0,N/A
f99BLmlEOZ,baseline,Cece Turner,0,N/A
992OMFK,baseline,Bryan Murphy,1,184.7
XHzg7C3,baseline,Bryan Murphy,1,284.68
pxGzf5Q,baseline,Cam Woods,0,N/A
7i3q195,baseline,Bryan Murphy,1,268.28
A6Rs2a9,baseline,Cece Turner,0,N/A
23lYfFA,baseline,Bryan Murphy,1,673.83
A9q2y2elLU,baseline,Bryan Murphy,0,N/A
d18mYj9,baseline,Bryan Murphy,1,952.67
4760FlU,baseline,Cece Turner,1,253.22
43yKj2E,baseline,Cece Turner,0,N/A
NXV6m94,baseline,Cam Woods,1,572.58
4oe1n0S,baseline,Cece Turner,0,N/A
cQ967dbBuw,baseline,Cam Woods,0,N/A
zhC0X4xSoh,baseline,Cam Woods,1,960.87
EUC9d19,baseline,Cam Woods,0,N/A
MBzFvbp9J0,baseline,Cece Turner,1,317.68
Ys48JU4,baseline,Cam Woods,1,424.46
H8TZer5,baseline,Cam Woods,1,340.05
dKTOp7L,baseline,Cam Woods,0,N/A
XR725hkJbh,baseline,Bryan Murphy,1,768.92
SRL2t0C,baseline,Cece Turner,0,N/A
0bLFT1U,baseline,Cece Turner,0,N/A
D88U15D,baseline,Bryan Murphy,1,706.73
rcKJDC9,baseline,Cam Woods,0,N/A
Sdb87U7,baseline,Bryan Murphy,1,712.44
3li7oW0,baseline,Cam Woods,1,264.78
QBV65GQ,baseline,Bryan Murphy,1,122.8
PB6Kj2Q,baseline,Cece Turner,0,N/A
